date,Dsté
1/1/2023,1708
1/2/2023,1667
1/3/2023,1694
1/4/2023,1704
1/5/2023,1696
1/6/2023,1704
1/7/2023,1700
1/8/2023,1689
1/9/2023,1688
1/10/2023,1681
1/11/2023,1678
1/12/2023,1691
1/13/2023,
1/14/2023,1669
1/15/2023,1676
1/16/2023,1682
1/17/2023,1693
1/18/2023,1702
1/19/2023,
1/20/2023,
1/21/2023,
1/22/2023,
1/23/2023,
1/24/2023,
1/25/2023,1653
1/26/2023,1678
1/27/2023,1694
1/28/2023,1706
1/29/2023,1692
1/30/2023,1706
1/31/2023,1695
2/1/2023,1691
2/2/2023,1292
2/3/2023,
2/4/2023,1669
2/5/2023,1681
2/6/2023,1673
2/7/2023,1682
2/8/2023,1685
2/9/2023,1686
2/10/2023,1686
2/11/2023,1689
2/12/2023,1681
2/13/2023,1690
2/14/2023,1694
2/15/2023,1681
2/16/2023,1684
2/17/2023,1688
2/18/2023,1703
2/19/2023,1701
2/20/2023,1705
2/21/2023,1692
2/22/2023,1669
2/23/2023,1695
2/24/2023,1681
2/25/2023,1673
2/26/2023,1669
2/27/2023,1683
2/28/2023,1680
3/1/2023,1680
3/2/2023,1675
3/3/2023,1680
3/4/2023,1684
3/5/2023,1673
3/6/2023,1672
3/7/2023,1674
3/8/2023,1679
3/9/2023,1683
3/10/2023,1681
3/11/2023,1678
3/12/2023,1682
3/13/2023,1686
3/14/2023,1689
3/15/2023,1692
3/16/2023,1689
3/17/2023,1687
3/18/2023,1682
3/19/2023,1686
3/20/2023,1695
3/21/2023,1687
3/22/2023,
3/23/2023,1648
3/24/2023,1644
3/25/2023,1638
3/26/2023,1657
3/27/2023,1644
3/28/2023,1673
3/29/2023,1668
3/30/2023,1660
3/31/2023,1673
4/1/2023,1670
4/2/2023,1679
4/3/2023,1680
4/4/2023,1672
4/5/2023,1678
4/6/2023,
4/7/2023,1640
4/8/2023,1657
4/9/2023,1655
4/10/2023,1648
4/11/2023,
4/12/2023,1614
4/13/2023,1640
4/14/2023,1648
4/15/2023,1645
4/16/2023,1642
4/17/2023,1646
4/18/2023,1651
4/19/2023,1647
4/20/2023,1631
4/21/2023,1635
4/22/2023,1630
4/23/2023,1627
4/24/2023,1623
4/25/2023,1625
4/26/2023,1638
4/27/2023,1630
4/28/2023,1637
4/29/2023,1634
4/30/2023,1640
5/1/2023,1649
5/2/2023,
5/3/2023,
5/4/2023,
5/5/2023,
5/6/2023,
5/7/2023,
5/8/2023,
5/9/2023,
5/10/2023,
5/11/2023,
5/12/2023,
5/13/2023,
5/14/2023,
5/15/2023,
5/16/2023,1691
5/17/2023,1670
5/18/2023,1657
5/19/2023,1664
5/20/2023,1658
5/21/2023,1656
5/22/2023,1661
5/23/2023,1663
5/24/2023,1653
5/25/2023,1660
5/26/2023,1667
5/27/2023,1669
5/28/2023,1675
5/29/2023,1667
5/30/2023,1649
5/31/2023,1650
6/1/2023,1661
6/2/2023,1660
6/3/2023,1662
6/4/2023,1664
6/5/2023,1666
6/6/2023,1650
6/7/2023,1650
6/8/2023,1646
6/9/2023,1652
6/10/2023,1648
6/11/2023,1664
6/12/2023,1626
6/13/2023,1628
6/14/2023,1641
6/15/2023,1645
6/16/2023,1640
6/17/2023,1630
6/18/2023,1632
6/19/2023,1641
6/20/2023,1630
6/21/2023,1626
6/22/2023,1622
6/23/2023,1601
6/24/2023,1603
6/25/2023,1601
6/26/2023,1607
6/27/2023,1624
6/28/2023,1622
6/29/2023,1620
6/30/2023,1608
7/1/2023,1595
7/2/2023,1589
7/3/2023,1580
7/4/2023,1578
7/5/2023,1565
7/6/2023,1565
7/7/2023,1626
7/8/2023,1616
7/9/2023,1634
7/10/2023,1662
7/11/2023,1653
7/12/2023,1645
7/13/2023,1636
