date,Dsté
1/1/2023,1688
1/2/2023,
1/3/2023,1633
1/4/2023,1635
1/5/2023,1632
1/6/2023,1647
1/7/2023,1650
1/8/2023,1642
1/9/2023,1650
1/10/2023,1610
1/11/2023,
1/12/2023,1671
1/13/2023,1682
1/14/2023,1677
1/15/2023,1670
1/16/2023,1667
1/17/2023,1671
1/18/2023,1675
1/19/2023,
1/20/2023,
1/21/2023,
1/22/2023,
1/23/2023,
1/24/2023,
1/25/2023,1681
1/26/2023,1668
1/27/2023,1674
1/28/2023,1689
1/29/2023,
1/30/2023,1664
1/31/2023,1684
2/1/2023,1674
2/2/2023,1686
2/3/2023,1698
2/4/2023,1691
2/5/2023,1687
2/6/2023,1685
2/7/2023,1677
2/8/2023,1676
2/9/2023,1674
2/10/2023,1645
2/11/2023,1678
2/12/2023,1684
2/13/2023,1679
2/14/2023,
2/15/2023,1661
2/16/2023,1670
2/17/2023,1695
2/18/2023,1696
2/19/2023,1693
2/20/2023,1699
2/21/2023,1700
2/22/2023,1697
2/23/2023,1690
2/24/2023,1687
2/25/2023,1677
2/26/2023,1672
2/27/2023,1674
2/28/2023,1681
3/1/2023,1682
3/2/2023,1680
3/3/2023,1673
3/4/2023,1676
3/5/2023,1665
3/6/2023,1661
3/7/2023,1669
3/8/2023,1670
3/9/2023,
3/10/2023,1650
3/11/2023,1656
3/12/2023,1658
3/13/2023,1654
3/14/2023,1625
3/15/2023,
3/16/2023,1660
3/17/2023,1648
3/18/2023,1664
3/19/2023,1679
3/20/2023,1682
3/21/2023,1680
3/22/2023,1673
3/23/2023,1666
3/24/2023,1671
3/25/2023,1647
3/26/2023,1684
3/27/2023,1652
3/28/2023,1670
3/29/2023,1666
3/30/2023,1664
3/31/2023,1668
4/1/2023,1645
4/2/2023,1658
4/3/2023,1660
4/4/2023,1664
4/5/2023,1666
4/6/2023,1666
4/7/2023,1664
4/8/2023,1655
4/9/2023,1651
4/10/2023,1641
4/11/2023,
4/12/2023,1623
4/13/2023,1618
4/14/2023,1620
4/15/2023,1620
4/16/2023,1629
4/17/2023,1624
4/18/2023,1621
4/19/2023,
4/20/2023,1650
4/21/2023,1676
4/22/2023,1675
4/23/2023,1673
4/24/2023,1676
4/25/2023,1673
4/26/2023,1670
4/27/2023,1672
4/28/2023,1677
4/29/2023,1665
4/30/2023,1667
5/1/2023,1669
5/2/2023,
5/3/2023,
5/4/2023,
5/5/2023,
5/6/2023,
5/7/2023,
5/8/2023,
5/9/2023,
5/10/2023,
5/11/2023,
5/12/2023,
5/13/2023,
5/14/2023,
5/15/2023,
5/16/2023,
5/17/2023,
5/18/2023,1660
5/19/2023,1647
5/20/2023,1639
5/21/2023,1642
5/22/2023,1647
5/23/2023,1650
5/24/2023,1648
5/25/2023,1664
5/26/2023,1678
5/27/2023,1670
5/28/2023,1694
5/29/2023,1695
5/30/2023,1682
5/31/2023,1661
6/1/2023,
6/2/2023,1676
6/3/2023,1671
6/4/2023,1669
6/5/2023,1655
6/6/2023,1645
6/7/2023,
6/8/2023,1662
6/9/2023,1666
6/10/2023,1658
6/11/2023,1669
6/12/2023,1672
6/13/2023,1664
6/14/2023,1661
6/15/2023,1657
6/16/2023,1659
6/17/2023,1654
6/18/2023,1652
6/19/2023,1662
6/20/2023,1655
6/21/2023,1665
6/22/2023,1659
6/23/2023,1642
6/24/2023,1650
6/25/2023,1651
6/26/2023,1641
6/27/2023,1612
6/28/2023,1627
6/29/2023,1630
6/30/2023,1637
7/1/2023,1633
7/2/2023,1631
7/3/2023,1634
7/4/2023,1630
7/5/2023,1635
7/6/2023,1635
7/7/2023,1613
7/8/2023,1600
7/9/2023,1577
7/10/2023,
7/11/2023,1616
7/12/2023,1640
7/13/2023,1639
7/14/2023,
